arthropods_type,binominal_name ,taxonomy_order,taxonomy_family,taxonomy_sub-family,genome,reference_genome,genome_size,habitat,natural_landscape,survival_temperature_ranges (ºC),survival_humidity_%,distribution,blood_meal,feeding_period,adult_life_expectancy_(day),anthropophilic_behaviour,eggs_viability_(days),lifecycle_time_(days),main_vector,secondary_vector,experimental infection,
mosquito,Aedeomyia catasticta,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,ground_water_habitats,26-32.5,>70,Australasian_Regions,birds,night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedeomyia squamipennis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,lakes,unk,>70,Neotropical,birds,night,unk,no,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes abnormalis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,unk,unk,unk,unk,Afrotropical,unk,unk,unk,unk,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes aegypti,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,urban,frash water,21-29,70,Cosmopolitan,human,day,~40,yes,360 (diapause),~10,tbc,tbc,tbc,tbc
mosquito,Aedes africanus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bamboo_stumps,unk,unk,Afrotropical,primates,day/crepuscular activity,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes albopictus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,urban,frash water,20-30,~70,Cosmopolitan,human,day,~40,yes,unk,10,tbc,tbc,tbc,tbc
mosquito,Aedes circumluteolus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,ground_water_habitats,unk,unk,Afrotropical Region,Bovidae,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes cumminsii,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,ground_water_habitats,~25,unk,Afrotropical,large mammals,unk,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes dalzieli,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,unk,unk,unk,Africa,eclectc,unk,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes furcifer-taylori,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,savannah/forest,tree holes,unk,unk,Africa,eclectc,crepuscular activity,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes iyengari ,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,urban/forest,bamboo_stumps,unk,unk,Southeast Asia,hunans,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes lineatopennis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,ground_water_habitats,~27,70 - 80,African and Asia,eclectc,day/crepuscular,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes longipalpis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,"bamboo, leaf axils, banana fibre",unk,unk,Afrotropical,primate,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes palpalis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,savannah/mangrove  forest ,ground_water_habitats,unk,unk,Afrotropical,mammals,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes pembaensis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,crab holes in tidal swamps and estuaries,unk,unk,Afrotropical,mammals,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes serratus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,puddles_ground,unk,unk,America,large_mammals,day/crepuscular activity,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes taeniorhynchus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/coast,puddles_ground,unk,unk,neotropical and Atlantic coast ,eclectic,day/night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes tarsalis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,unk,unk,unk,Africa,unk,unk,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Aedes vexans,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,"shallow, tempo-rary pools, marshes, roadside ditches, and grassypools",unk,unk,cosmopolitan,humans,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
