"Abadina  ",Palyam virus,Orbivirus,Reoviridae,ABAV,04/11/1987,dsRNA,non-enveloped,tbc,18919,midge-borne disease,Culicoides spp.,tbc,unk,unk,unk,unk,unk,unk,Nigeria,tbc,?,?,?,?,tbc,unk
Abbey lake,Abbey lake virus,Orthobunyavirus,Peribunyaviridae,Ab-BUNV,20/06/2013,ssRNA(-),enveloped,tbc,12194,mosquito-borne-virus,unk,tbc,unk,unk,unk,unk,unk,unk,,tbc,unk,unk,unk,unk,tbc,unk
"Above Maiden  ",Great Island virus,Orbivirus,Reoviridae,MDNV,?,dsRNA,non-enveloped,tbc,unk,unk,?,tbc,unk,unk,unk,unk,unk,unk,Scotland,tbc,?,?,?,?,tbc,unk
Abras,Patois orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ABRV,21/08/1974,ssRNA(-),enveloped,tbc,12751,mosquito-borne-virus,Culex paracrybda,tbc,unk,unk,unk,unk,unk,unk,Ecuador,tbc,yes,unk,7,5,tbc,2
Absettarov,Tick-borne encephalitis virus,Flavivirus,Flaviviridae,ABSV,06/01/1951,ssRNA(+),enveloped,tbc,11097,tick-borne-virus,Ixodes ricinus,tbc,CNS,yes,yes,unk,many,epidemic,"Russia, Sweeden, Finland, Poland, Slovakia, Czech Republic, Hungary, Austria, Bulgaria",tbc,unk,unk,unk,unk,tbc,4
Abu Hammad,Dera Ghazi Khan orthonairovirus,Orthonairovirus,Nairoviridae,AHV,06/07/1971,ssRNA(-),enveloped,tbc,18596,tick-borne-virus,Argas hermanni,tbc,unk,unk,unk,unk,unk,unk,"Egypt, Iran",tbc,unk,unk,unk,unk,tbc,2
"Abu Mina  ",Dera Ghazi Khan orthonairovirus,Orthonairovirus,Nairoviridae,AMV,01/05/1963,ssRNA(-),enveloped,tbc,18416,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Egypt,tbc,?,?,?,?,tbc,unk
Acado,unclassified orbivirus,Orbivirus,Reoviridae,ACDV,22/10/1963,dsRNA,non-enveloped,tbc,unk,mosquito-borne-virus,Culex antennatus,tbc,unk,unk,unk,unk,unk,unk,Ethiopia,tbc,unk,unk,unk,unk,tbc,2
Acara,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ACAV,22/02/1961,ssRNA(-),enveloped,tbc,unk,mosquito-borne-virus,Culex spp.,tbc,unk,unk,unk,unk,unk,unk,"Brazil, Panama",tbc,yes,unk,unk,6,tbc,2
Acatinga,unclassified orbivirus,Orbivirus,Reoviridae,ACTV,?,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
"Achiote  ",Trivittatus orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ACHOV,?,ssRNA(-),enveloped,tbc,11858,mosquito-borne-virus,Aedes sp.,tbc,unk,unk,unk,unk,unk,unk,Panama,tbc,?,?,?,?,tbc,unk
Acurenê,unclassified orbivirus,Orbivirus,Reoviridae,-,?,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
"Adana  ",Adana phlebovirus,Phlebovirus,Phenuiviridae,ADAV,04/07/1905,ssRNA(-),enveloped,tbc,12389,sandfly-borne-virus,Phlebotomus sp.,tbc,unk,unk,unk,unk,unk,unk,Turkey,tbc,?,?,?,?,tbc,unk
Adelaide River,Adelaide River ephemerovirus,Ephemerovirus,Rhabdoviridae,ARV,17/03/1981,ssRNA(-),enveloped,tbc,14627,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Australia,tbc,yes,unk,3,6,tbc,unk
"Adria  ",Salehabad phlebovirus,Phlebovirus,Phenuiviridae,ADRV,27/06/2005,ssRNA(-),enveloped,tbc,unk,sandfly-borne-virus,Phlebotomus spp.,tbc,febrile illness,unk,unk,unk,1,sporadic,Albania,tbc,?,?,?,?,tbc,unk
African Horsesickness,African horse sickness virus,Orbivirus,Reoviridae,AHSV,01/01/1899,dsRNA,non-enveloped,tbc,19524,midge-borne disease,Culicoides spp.,tbc,unk,unk,yes,yes,unk,endemic,"Africa continent, Middle East, India, Pakistan, Thailand, Portugal, Spain",tbc,yes,yes,?,unk,tbc,3
African swine fever,African swine fever virus,Asfivirus,Asfarviridae,ASFV,06/01/2010,dsDNA,enveloped,tbc,170101,tick-borne-virus,Ornithodoros moubat aporcinus,tbc,unk,unk,yes,yes,unk,endemic,"Asia, Europe, Africa",tbc,unk,unk,unk,unk,tbc,3
Água Branca,unclassified orbivirus,Orbivirus,Reoviridae,-,08/09/1990,dsRNA,non-enveloped,tbc,unk,unk,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Aguacate,Aguacate phlebovirus,Phlebovirus,Phenuiviridae,AGUV,12/04/1969,ssRNA(-),enveloped,tbc,12408,sandfly-borne-virus,Lutzomyia trapidoi,tbc,unk,unk,unk,unk,unk,unk,"Panama ",tbc,yes,unk,5,5,tbc,2
Aino,Aino orthobunyavirus,Orthobunyavirus,Peribunyaviridae,AINOV,14/09/1964,ssRNA(-),enveloped,tbc,12061,mosquito-borne-virus,Culex tritaeniorhynchus,tbc,unk,unk,unk,unk,unk,unk,"Japan, Australia",tbc,unk,unk,unk,unk,tbc,3
Akabane,Akabane orthobunyavirus,Orthobunyavirus,Peribunyaviridae,AKAV,20/08/1959,ssRNA(-),enveloped,tbc,12035,mosquito-borne-virus,Aedes vexans nipponii,tbc,unk,unk,yes,unk,unk,unk,"Japan, Australia, Kenya",tbc,yes,unk,unk,8,tbc,3
"Alajuela  ",Alajuela orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ALJV,09/01/1963,ssRNA(-),enveloped,tbc,13166,mosquito-borne-virus,Aedeomyia squamipennis,tbc,unk,unk,unk,unk,unk,unk,Panama,tbc,?,?,?,?,tbc,unk
Albatross Island virus,Hunter Island bandavirus,Bandavirus,Phenuiviridae,HUIV,05/06/1905,ssRNA(-),enveloped,tbc,11367,tick-borne-virus,Ixodes eudyptidis,tbc,unk,unk,unk,unk,unk,unk,Australia,tbc,?,?,?,?,tbc,unk
"Alcube  ",Alcube phlebovirus,Phlebovirus,Phenuiviridae,ACBV,29/06/1905,ssRNA(-),enveloped,tbc,12327,sandfly-borne-virus,Phlebotomus perniciosus,tbc,unk,unk,unk,unk,unk,unk,Portugal,tbc,?,?,?,?,tbc,unk
Alenquer,Alenquer phlebovirus,Phlebovirus,Phenuiviridae,ALEV,31/05/1976,ssRNA(-),enveloped,tbc,12455,unk,unk,tbc,febrile illness,unk,unk,unk,1,sporadic,Brazil,tbc,yes,unk,4-5,unk,tbc,3
Alfuy,Murray Valley encephalitis virus,Flavivirus,Flaviviridae,ALFV,04/01/1966,ssRNA(+),enveloped,tbc,10960,mosquito-borne-virus,Aedeomyia catasticta,tbc,unk,unk,unk,unk,unk,unk,Australia,tbc,yes,unk,unk,9,tbc,2
"Alkhumra hemorrhagic fever  ",Kyasanur Forest disease virus,Flavivirus,Flaviviridae,AHFV,17/06/1905,ssRNA(+),enveloped,tbc,10685,tick-borne-virus,Ornithodoros savignyi,tbc,hemorrhagic fever,yes,unk,unk,~ 40,outbreak,Saudi Arabia,tbc,?,?,?,?,tbc,3
Almerim,unclassified orbivirus,Orbivirus,Reoviridae,AMRV,29/09/1980,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,Nyssomyia umbratilis,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,6,no,tbc,3
Almpiwar,Almpiwar sripuvirus,"Sripuvirus ",Rhabdoviridae,ALMV,21/03/1966,ssRNA(-),enveloped,tbc,11156,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Australia,tbc,yes,unk,unk,no,tbc,2
"Alongshan  ",unclassified flavivirus,Flavivirus,Flaviviridae,ASV,23/03/2017,ssRNA(+),enveloped,tbc,8823,tick-borne-virus,Ixodes ricinus,tbc,febrile illness,unk,yes,unk,86,sporadic,"China, Russia",tbc,?,?,?,?,tbc,unk
Altamira,unclassified orbivirus,Orbivirus,Reoviridae,ALTV,30/07/1974,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,Lutzomyia sp.,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,6,unk,tbc,3
Alto Alegre,unk,unk,unk,-,/06/1999,unk,unk,tbc,unk,unk,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
"Ambe  ",Ambe phlebovirus,Phlebovirus,Phenuiviridae,ABEV,14/01/1982,ssRNA(-),enveloped,tbc,12639,sandfly-borne-virus,Lutzomyia sp.,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,2
"American bat ",American bat vesiculovirus,Vesiculovirus,Rhabdoviridae,ABVV,30/06/1905,ssRNA(-),enveloped,tbc,10692,unk,unk,tbc,unk,unk,unk,unk,unk,unk,USA,tbc,?,?,?,?,tbc,unk
"Anadyr  ",Anadyr orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ANADV,07/06/1905,ssRNA(-),enveloped,tbc,11721,mosquito-borne-virus,Aedes sp.,tbc,unk,unk,unk,unk,unk,unk,Russia,tbc,?,?,?,?,tbc,unk
Ananindeua,Guama orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ANUV,22/09/1966,ssRNA(-),enveloped,tbc,12777,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,3,unk,tbc,2
Anapú,unclassified orbivirus,Orbivirus,Reoviridae,-,/06/1986,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Andasibe,unclassified orbivirus,Orbivirus,Reoviridae,ANDV,02/01/1979,dsRNA,non-enveloped,tbc,unk,mosquito-borne-virus,Anopheles paludis,tbc,unk,unk,unk,unk,unk,unk,Madagascar,tbc,unk,unk,unk,unk,tbc,2
Anhanga,Anhanga phlebovirus,Phlebovirus,Phenuiviridae,ANHV,10/01/1962,ssRNA(-),enveloped,tbc,12568,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,2,5,tbc,2
Anhembi,Anhembi orthobunyavirus,Orthobunyavirus,Peribunyaviridae,AMBV,15/01/1965,ssRNA(-),enveloped,tbc,12611,mosquito-borne-virus,Trichoprosopon pallidiventer,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,4,unk,tbc,2
Aniva virus,Aniva virus,Orbivirus,Reoviridae,ANIV,/09/1971,dsRNA,non-enveloped,tbc,4046,tick-borne-virus,"Ixodes uriae ",tbc,unk,unk,unk,unk,unk,unk,"Okhotsk, Bering, and Barents seas",tbc,?,?,?,?,tbc,unk
Anopheles A,Anopheles A orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ANAV,15/08/1940,ssRNA(-),enveloped,tbc,12207,mosquito-borne-virus,Anopheles boliviensis,tbc,unk,unk,unk,unk,unk,unk,Colombia,tbc,yes,unk,unk,4,tbc,2
